epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,327.951,1.89303,3.59298,1.84515,2.16597,0,0.47697,0.12377,0.13663,0.05161,0.00611,0.05063,0.00109,0.00021,2.44214,3.67893,1.97027,2.47825,0,0.00103288,0.00103288,0.00103288
30,339.135,1.78208,3.42524,1.71967,2.11457,0,0.11463,0.53618,0.16471,0.05865,0.02909,0.0797,0.01349,0.00268,2.31072,3.68394,1.91607,2.31283,0,0.00101873,0.00101873,0.00101873
31,350.323,1.82418,3.48541,1.70373,2.11892,0,0.48227,0.1158,0.1624,0.06676,0.00638,0.05391,0.0012,0.00021,2.26159,3.70436,1.8362,2.22247,0,0.00100459,0.00100459,0.00100459
32,361.499,1.8352,3.44443,1.76008,2.15776,0,0.5172,0.11131,0.14781,0.06005,0.00729,0.06178,0.00143,0.00026,2.36789,3.71657,1.88056,2.31456,0,0.00099044,0.00099044,0.00099044
33,372.599,1.77864,3.42898,1.69454,2.11231,0,0.52346,0.11955,0.15087,0.0622,0.00701,0.05485,0.00128,0.00022,2.29324,3.68896,1.85083,2.23448,0,0.000976293,0.000976293,0.000976293
34,383.737,1.76516,3.43508,1.71707,2.09208,0,0.51873,0.12377,0.14969,0.06387,0.00677,0.05157,0.00107,0.00021,2.21792,3.62176,1.8293,2.1848,0,0.000962146,0.000962146,0.000962146
35,394.887,1.78173,3.43384,1.66075,2.08192,0,0.49529,0.11955,0.136,0.05376,0.00656,0.0497,0.00121,0.00024,2.33373,3.68397,1.90745,2.27934,0,0.000947999,0.000947999,0.000947999
36,406.08,1.85696,3.49374,1.89169,2.15094,0,0.53406,0.12049,0.17733,0.07754,0.00501,0.04032,0.00063,0.00011,2.13791,3.63567,1.77811,2.17507,0,0.000933851,0.000933851,0.000933851
37,417.236,1.78348,3.45148,1.67693,2.09265,0,0.44944,0.27136,0.22779,0.08885,0.05399,0.09085,0.03926,0.004,2.153,3.5368,1.70118,2.16163,0,0.000919704,0.000919704,0.000919704
38,428.475,1.71891,3.42568,1.65063,2.05223,0,0.45029,0.22141,0.15706,0.05808,0.00923,0.06939,0.00806,0.00291,2.47222,3.87749,1.9785,2.43534,0,0.000905557,0.000905557,0.000905557
