epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2455.68,0.08878,0.21656,1.12734,1.22894,0,0.78012,0.69702,0.709,0.5224,0.76996,0.64573,0.65812,0.48588,0.10605,0.23607,1.22038,1.08231,0,0.0014654,0.0014654,0.0014654
29,2558.58,0.08787,0.21497,1.11334,1.22305,0,0.78022,0.67965,0.69396,0.52445,0.7594,0.66372,0.66058,0.48321,0.10346,0.24894,1.24716,1.07371,0,0.0014456,0.0014456,0.0014456
30,2657.72,0.08669,0.21662,1.09016,1.20006,0,0.77452,0.69914,0.70959,0.52681,0.74068,0.66018,0.67449,0.49357,0.10724,0.21596,1.27913,1.09195,0,0.0014258,0.0014258,0.0014258
31,2759.22,0.08601,0.21417,1.09843,1.20883,0,0.74917,0.71327,0.69925,0.54207,0.7601,0.64956,0.66023,0.49748,0.095,0.21196,1.17326,1.02141,0,0.001406,0.001406,0.001406
32,2860.48,0.08671,0.21683,1.07582,1.2209,0,0.76177,0.67913,0.68919,0.52967,0.76045,0.67422,0.68016,0.50745,0.10328,0.2103,1.22237,1.0767,0,0.0013862,0.0013862,0.0013862
33,2956.36,0.08923,0.21804,1.1087,1.22399,0,0.78896,0.66549,0.71129,0.53636,0.73717,0.62124,0.65416,0.49249,0.10235,0.21697,1.30327,1.04012,0,0.0013664,0.0013664,0.0013664
34,3031.83,0.0835,0.20699,1.03,1.19901,0,0.76645,0.67611,0.70988,0.54272,0.72413,0.63894,0.65553,0.49201,0.10216,0.2176,1.2805,1.09421,0,0.0013466,0.0013466,0.0013466
35,3090.35,0.08524,0.21647,1.06216,1.198,0,0.78067,0.69296,0.69462,0.5148,0.76056,0.67465,0.67115,0.48375,0.10239,0.22797,1.28279,1.05646,0,0.0013268,0.0013268,0.0013268
36,3182.21,0.08208,0.20144,1.02454,1.19348,0,0.78451,0.72035,0.733,0.56548,0.7682,0.67965,0.70305,0.52163,0.09625,0.21207,1.14257,1.00464,0,0.001307,0.001307,0.001307
37,3283.49,0.08622,0.20873,1.04062,1.204,0,0.78206,0.72566,0.73093,0.55077,0.79724,0.6708,0.70751,0.53564,0.10147,0.21251,1.17013,1.06109,0,0.0012872,0.0012872,0.0012872
38,3380.97,0.0835,0.20769,1.03787,1.1943,0,0.81652,0.72465,0.75138,0.57283,0.8325,0.66549,0.71254,0.529,0.09288,0.20957,1.1105,0.99377,0,0.0012674,0.0012674,0.0012674
39,3481.11,0.08299,0.20323,1.00027,1.1915,0,0.74981,0.71858,0.72015,0.55141,0.81007,0.67965,0.70003,0.51237,0.1006,0.22135,1.09816,1.0483,0,0.0012476,0.0012476,0.0012476
40,3581.56,0.08602,0.2085,1.03653,1.197,0,0.81705,0.68496,0.73424,0.56006,0.81442,0.67257,0.7123,0.52527,0.10133,0.21175,1.21127,1.03715,0,0.0012278,0.0012278,0.0012278
41,3681.99,0.08586,0.20841,1.03292,1.1833,0,0.79688,0.72212,0.75716,0.57245,0.78704,0.70644,0.71785,0.54109,0.09212,0.19644,1.15171,0.99593,0,0.001208,0.001208,0.001208
42,3783.51,0.08246,0.19722,1.00765,1.17709,0,0.80618,0.70796,0.72707,0.56541,0.79687,0.6708,0.68908,0.52301,0.09571,0.21345,1.11178,1.01607,0,0.0011882,0.0011882,0.0011882
43,3880.44,0.07973,0.201,0.98155,1.17469,0,0.80544,0.73451,0.73663,0.56977,0.80657,0.73451,0.72753,0.53846,0.09256,0.19517,1.0894,0.98448,0,0.0011684,0.0011684,0.0011684
44,3939.84,0.08058,0.19131,0.97514,1.1715,0,0.78437,0.74041,0.74593,0.57973,0.8021,0.68151,0.70736,0.54233,0.08928,0.21266,1.11061,0.977,0,0.0011486,0.0011486,0.0011486
45,3998.75,0.08158,0.19389,0.97593,1.18677,0,0.79425,0.71739,0.7613,0.58619,0.79445,0.68496,0.7197,0.54844,0.09418,0.2061,1.15254,0.99432,0,0.0011288,0.0011288,0.0011288
46,4058.45,0.07851,0.19783,0.9599,1.15789,0,0.82354,0.71504,0.74233,0.57397,0.79752,0.69558,0.70748,0.54233,0.09893,0.20361,1.11591,1.02561,0,0.001109,0.001109,0.001109
47,4117.93,0.07875,0.18821,0.94338,1.1647,0,0.80525,0.7245,0.74733,0.57579,0.79345,0.71388,0.7374,0.54392,0.09328,0.19859,1.12177,0.99881,0,0.0010892,0.0010892,0.0010892
48,4176.72,0.07762,0.19057,0.94882,1.16222,0,0.82721,0.70265,0.72193,0.55968,0.81561,0.67788,0.69542,0.51588,0.09453,0.22274,1.28631,1.00196,0,0.0010694,0.0010694,0.0010694
